"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Av. Díaz Vélez 4200","Almagro",88,"dolares",172500,"venta","departamento",2015-08-20
"Av. Díaz Vélez 4200","Almagro",60,"dolares",117000,"venta","departamento",2015-08-20
"Av. Díaz Vélez 4200","Almagro",35,"dolares",78000,"venta","departamento",2015-08-20
"Av. Díaz Vélez 4200","Almagro",46,"dolares",97600,"venta","departamento",2015-08-20
"Trelles 1800","Caballito",45,"dolares",75000,"venta","departamento",2015-08-20
"Trelles 1800","Caballito",56,"dolares",119000,"venta","departamento",2015-08-20
"Trelles 1800","Caballito",90,"dolares",139000,"venta","departamento",2015-08-20
"Trelles 1800","Caballito",38,"dolares",65000,"venta","departamento",2015-08-20
"Bertres 500","Caballito",48,"dolares",105000,"venta","departamento",2015-08-20
"Doblas 500","Caballito",33,"dolares",74000,"venta","departamento",2015-08-20
"Doblas 500","Caballito",33,"dolares",72000,"venta","departamento",2015-08-20
"Andrés Arguibel 2800","Las Cañitas",38,"dolares",106400,"venta","departamento",2015-08-20
"Andrés Arguibel 2800","Las Cañitas",70,"dolares",194160,"venta","departamento",2015-08-20
"Andrés Arguibel 2800","Las Cañitas",58,"dolares",189150,"venta","departamento",2015-08-20
"Andrés Arguibel 2800","Las Cañitas",112,"dolares",344100,"venta","departamento",2015-08-20
"Concepción Arenal 3400","Palermo Hollywood",40,"dolares",96623,"venta","departamento",2015-08-20
"Concepción Arenal 3400","Palermo Hollywood",64,"dolares",96623,"venta","departamento",2015-08-20
"Garay, Juan De, Avda. 4000","Boedo",70,"dolares",115000,"venta","departamento",2015-08-20
"Garay, Juan De, Avda. 4000","Boedo",71,"dolares",105000,"venta","departamento",2015-08-20
"Garay, Juan De, Avda. 4000","Boedo",71,"dolares",100000,"venta","departamento",2015-08-20
"Formosa 0","Caballito",54,"dolares",114000,"venta","departamento",2015-08-20
"Formosa 0","Caballito",52,"dolares",101000,"venta","departamento",2015-08-20
"Formosa 0","Caballito",52,"dolares",103000,"venta","departamento",2015-08-20
"Formosa 0","Caballito",52,"dolares",105000,"venta","departamento",2015-08-20
"Carabobo, Avda. 400","Caballito",76,"dolares",112500,"venta","departamento",2015-08-20
"Carabobo, Avda. 400","Caballito",53,"dolares",78500,"venta","departamento",2015-08-20
"Carabobo, Avda. 400","Caballito",76,"dolares",114000,"venta","departamento",2015-08-20
"Carabobo, Avda. 400","Caballito",76,"dolares",115500,"venta","departamento",2015-08-20
"Valle 100","Caballito",39,"dolares",71000,"venta","departamento",2015-08-20
"Valle 100","Caballito",50,"dolares",89000,"venta","departamento",2015-08-20
"Valle 100","Caballito",48,"dolares",86000,"venta","departamento",2015-08-20
"Valle 100","Caballito",48,"dolares",82000,"venta","departamento",2015-08-20
"Rio De Janeiro 200","Caballito",77,"dolares",155820,"venta","departamento",2015-08-20
"Rio De Janeiro 200","Caballito",55,"dolares",110240,"venta","departamento",2015-08-20
"Rio De Janeiro 200","Caballito",77,"dolares",153700,"venta","departamento",2015-08-20
"Rio De Janeiro 200","Caballito",55,"dolares",109180,"venta","departamento",2015-08-20
"Puan 0","Caballito",45,"dolares",85215,"venta","departamento",2015-08-20
"Puan 0","Caballito",42,"dolares",78907,"venta","departamento",2015-08-20
"Puan 0","Caballito",53,"dolares",88844,"venta","departamento",2015-08-20
"Puan 0","Caballito",58,"dolares",113430,"venta","departamento",2015-08-20
"Pergamino 300","Flores",38,"dolares",70000,"venta","departamento",2015-08-20
"Pergamino 300","Flores",38,"dolares",72000,"venta","departamento",2015-08-20
"Pergamino 300","Flores",38,"dolares",73000,"venta","departamento",2015-08-20
"Pergamino 300","Flores",38,"dolares",74500,"venta","departamento",2015-08-20
"Gurruchaga 600","Villa Crespo",51,"dolares",103848,"venta","departamento",2015-08-20
"Gurruchaga 600","Villa Crespo",39,"dolares",69965,"venta","departamento",2015-08-20
"Gurruchaga 600","Villa Crespo",37,"dolares",78841,"venta","departamento",2015-08-20
"Gurruchaga 600","Villa Crespo",37,"dolares",77684,"venta","departamento",2015-08-20
"Guemes 3500","Palermo",44,"dolares",100320,"venta","departamento",2015-08-20
